,user_rating,review_text,sentiment,review_text_cleaned,tokens,freqdist
239,2,"We were guests in this apartment for 7 days. Unfortunately, what you see in the photo are the actual conditions of the awnings that you encounter as soon as you open the balcony of the third room. The cleanliness of the apartment did not correspond to what was described by the owner. We contacted the innkeeper to make our complaints and asked to tidy up but with great surprise we were told that the curtains are cleaned (maybe) once a year. Plus the interior didn't shine either. Complained with arbb who granted a partial refund. The innkeeper didn't like it.",negative,apartment day unfortunately see photo actual encounter soon open balcony third room cleanliness apartment not correspond owner innkeeper make tidy great surprise told maybe year plus interior shine either partial refund innkeeper like,"['apartment', 'day', 'unfortunately', 'see', 'photo', 'actual', 'encounter', 'soon', 'open', 'balcony', 'third', 'room', 'cleanliness', 'apartment', 'not', 'correspond', 'owner', 'innkeeper', 'make', 'tidy', 'great', 'surprise', 'told', 'maybe', 'year', 'plus', 'interior', 'shine', 'either', 'partial', 'refund', 'innkeeper', 'like']",<FreqDist with 31 samples and 33 outcomes>
240,1,"An insect came out of the house
Netflix not working
There are holes in the walls
The kitchen counter is scorched
Bathroom valve and shower head broken
Disaster in a nutshell
I do not recommend at all",negative,insect came house not working kitchen counter scorched bathroom valve shower head broken disaster nutshell not recommend,"['insect', 'came', 'house', 'not', 'working', 'kitchen', 'counter', 'scorched', 'bathroom', 'valve', 'shower', 'head', 'broken', 'disaster', 'nutshell', 'not', 'recommend']",<FreqDist with 16 samples and 17 outcomes>
243,5,Quiet and clean! Polite owner.,positive,quiet clean polite owner,"['quiet', 'clean', 'polite', 'owner']",<FreqDist with 4 samples and 4 outcomes>
260,4,nice,positive,nice,['nice'],<FreqDist with 1 samples and 1 outcomes>
263,5,"A very wonderful hotel, but it is affiliated with the IOM organization",positive,wonderful hotel organization,"['wonderful', 'hotel', 'organization']",<FreqDist with 3 samples and 3 outcomes>
274,5,"Absolutely stunning property with breathtaking panoramic views of Athens! The amenities were top-notch, making for an incredibly comfortable and enjoyable stay. The attention to detail and quality service exceeded our expectations, and every moment here was perfect. Highly recommend this place for anyone looking for a memorable experience in Athens!",positive,absolutely stunning property panoramic making incredibly comfortable enjoyable stay attention detail quality service every moment perfect highly recommend place anyone looking memorable experience,"['absolutely', 'stunning', 'property', 'panoramic', 'making', 'incredibly', 'comfortable', 'enjoyable', 'stay', 'attention', 'detail', 'quality', 'service', 'every', 'moment', 'perfect', 'highly', 'recommend', 'place', 'anyone', 'looking', 'memorable', 'experience']",<FreqDist with 23 samples and 23 outcomes>
277,1,"My reservation was canceled les than 24 hours before arrival by the owner of this apartment and few minutes later I saw it in booking with higher price. I did screen shots and informed booking.
So if you don’t want to land in Athens and not have the place to stay I highly recommend to avoid this apartment.",negative,reservation arrival owner apartment later saw booking higher price screen informed booking want land not place stay highly recommend avoid apartment,"['reservation', 'arrival', 'owner', 'apartment', 'later', 'saw', 'booking', 'higher', 'price', 'screen', 'informed', 'booking', 'want', 'land', 'not', 'place', 'stay', 'highly', 'recommend', 'avoid', 'apartment']",<FreqDist with 19 samples and 21 outcomes>
279,1,"It is supposed to offer services to old people but it is worse than a prison. They did not allow me to stay longer than 20 minutes while visiting my grandmother there. Even in prisons there are yards, but there is nothing there.",negative,supposed offer old people worse prison not allow stay longer visiting grandmother even nothing,"['supposed', 'offer', 'old', 'people', 'worse', 'prison', 'not', 'allow', 'stay', 'longer', 'visiting', 'grandmother', 'even', 'nothing']",<FreqDist with 14 samples and 14 outcomes>
281,1,"The care of the elderly by the girls working there is superhuman because the staff is not enough. The owner and manageress are condescending with no good manners and no willingness to listen to your old man's problems. I wouldn't recommend a sane old man to go there and he is self catering there is no activity during the day. The worst of all is that due to a lack of staff and no involvement of the owner in the business, you cannot see your man on Saturday afternoon or all Sunday (which are the most reasonable hours for anyone who works) to have time. Also, the food is catering.
Apparently only for the elderly with dementia or the bedridden!",negative,care elderly working superhuman staff not enough owner manageress condescending good manner willingness listen old man would recommend sane old man go self activity day worst due lack staff involvement owner business not see man afternoon reasonable anyone work time also food apparently elderly dementia bedridden,"['care', 'elderly', 'working', 'superhuman', 'staff', 'not', 'enough', 'owner', 'manageress', 'condescending', 'good', 'manner', 'willingness', 'listen', 'old', 'man', 'would', 'recommend', 'sane', 'old', 'man', 'go', 'self', 'activity', 'day', 'worst', 'due', 'lack', 'staff', 'involvement', 'owner', 'business', 'not', 'see', 'man', 'afternoon', 'reasonable', 'anyone', 'work', 'time', 'also', 'food', 'apparently', 'elderly', 'dementia', 'bedridden']",<FreqDist with 39 samples and 46 outcomes>
282,1,"Unfortunately it has zero rating.
We entrusted my father with dementia and Parkinson's and limited mobility (he was walking with P before entering this miserable structure) to Iasis so that my mother could rest. In total he stayed there for 3 weeks. The 1st time we visited him he had wounds on his wrists and hands ankles from the binding and 1 pantyhose hanging (with this they bound him) from the wheelchair they brought him (which had no footrests),
After we made a fuss the next few times he had bandages so that the wound could not be seen.
On the last visit we went to see him, he had a fever of 38.4, which we understood was not noticed by any of the supposed nurses.
As a result, they told us that he was allowed to be hospitalized and they threw him to us.
My father was dead for 2.30 hours due to severe dehydration, he had one foot in the grave. They didn't even give him water. The owner of the Spatharis center doesn't even answer the phone or call back.
This structure must be closed.
It is inappropriate. I have an opinion from a public doctor about all this and of course videos and photos.
Result
My father passed away in November 4 months after staph and aspiration caused by lying down because he was constantly tied up. The worst part was that 4 months later he still had the scars on his legs and arms and he left with them.
Shame!!!",negative,unfortunately zero rating father dementia limited mobility walking p entering miserable structure mother could rest total stayed time wound binding hanging bound brought made fuss next time wound could not seen last visit went see fever understood not supposed result told u threw u father dead due severe dehydration one foot grave even give water owner center even answer phone call back structure must closed inappropriate opinion public doctor course result father away aspiration lying constantly tied worst part later still arm left shame,"['unfortunately', 'zero', 'rating', 'father', 'dementia', 'limited', 'mobility', 'walking', 'p', 'entering', 'miserable', 'structure', 'mother', 'could', 'rest', 'total', 'stayed', 'time', 'wound', 'binding', 'hanging', 'bound', 'brought', 'made', 'fuss', 'next', 'time', 'wound', 'could', 'not', 'seen', 'last', 'visit', 'went', 'see', 'fever', 'understood', 'not', 'supposed', 'result', 'told', 'u', 'threw', 'u', 'father', 'dead', 'due', 'severe', 'dehydration', 'one', 'foot', 'grave', 'even', 'give', 'water', 'owner', 'center', 'even', 'answer', 'phone', 'call', 'back', 'structure', 'must', 'closed', 'inappropriate', 'opinion', 'public', 'doctor', 'course', 'result', 'father', 'away', 'aspiration', 'lying', 'constantly', 'tied', 'worst', 'part', 'later', 'still', 'arm', 'left', 'shame']",<FreqDist with 74 samples and 84 outcomes>
283,1,"The manageress was always rude, she opened the door for us and didn't even say good evening.
To make an appointment it was always very difficult, he told us that they were booked. Whenever we went a little earlier or later there was no appointment, we didn't see anyone.
Also the owners were rude and uncooperative.
Luckily we moved our man to another structure and escaped.",negative,manageress always rude door u even say good evening make appointment always difficult told u booked whenever went little later appointment see anyone also rude luckily man another structure,"['manageress', 'always', 'rude', 'door', 'u', 'even', 'say', 'good', 'evening', 'make', 'appointment', 'always', 'difficult', 'told', 'u', 'booked', 'whenever', 'went', 'little', 'later', 'appointment', 'see', 'anyone', 'also', 'rude', 'luckily', 'man', 'another', 'structure']",<FreqDist with 25 samples and 29 outcomes>
